dispnum,styear,endyear,fatality,fatalpre,hostlev,recip,numa,numb,ongo2014,meandur,acountries,bcountries
3552,1992,1993,-9,-9,4,0,6,1,0,515.0,[  2 220 690 200 365 670],[645]
3554,1992,1992,0,0,3,0,1,1,0,23.0,[339],[345]
3555,1992,1992,4,-9,4,1,1,1,0,173.0,[344],[345]
3556,1992,1992,4,-9,4,1,1,1,0,7.0,[344],[346]
3557,1992,1993,4,-9,4,1,1,1,0,295.0,[345],[346]
3558,1992,1992,-9,-9,4,1,1,1,0,113.0,[365],[359]
3559,1992,1992,0,0,4,0,1,1,0,1.0,[365],[369]
3560,1992,1992,0,0,4,1,1,1,0,7.0,[365],[366]
3561,1992,1993,2,-9,4,1,1,1,0,501.0,[365],[372]
3563,1992,1992,0,0,4,1,1,1,0,6.0,[365],[380]
3564,1992,1995,6,-9,4,1,2,3,0,1087.0,[365 371],[373 640 630]
3565,1992,1992,0,0,4,0,1,1,0,1.0,[433],[404]
3566,1992,1992,0,0,4,1,1,1,0,157.0,[630],[645]
3567,1992,1992,0,0,3,0,1,1,0,4.0,[630],[696]
3568,1992,1994,1,-9,4,1,1,4,0,453.0,[645],[  2 200 220 690]
3569,1992,1992,0,0,4,0,1,1,0,24.0,[670],[694]
3570,1992,1992,1,-9,4,1,1,1,0,1.0,[731],[732]
